StudentID       | Name            | GradYear        | CName           | CGrade          | Date_grades     | Department      | Credits        
71              | Linda Brown     | 2028            | Calculus I      | 2.8             | 2026-03-17      | CS              | 4              
72              | John Jones      | 2028            | Data Visualization | 3.8             | 2026-02-19      | Physics         | 4              
73              | Mary Smith      | 2026            | Database Systems | 2.4             | 2026-03-10      | Data Science    | 3              
74              | John Jones      | 2028            | World History   | 3.1             | 2026-03-11      | Physics         | 3              
75              | John Williams   | 2027            | Calculus I      | 3.7             | 2026-02-18      | CS              | 4              
75              | John Williams   | 2027            | Data Visualization | 2.6             | 2026-02-25      | Physics         | 4              
76              | James Brown     | 2026            | Intro to Python | 3.7             | 2026-01-20      | CS              | 4              
76              | James Brown     | 2026            | Machine Learning | 3.9             | 2026-05-26      | CS              | 3              
76              | James Brown     | 2026            | Quantum Physics | 2.2             | 2026-03-17      | Physics         | 4              
77              | Patricia Jones  | 2025            | Intro to Python | 3.6             | 2026-03-22      | CS              | 4              
77              | Patricia Jones  | 2025            | Quantum Physics | 3.8             | 2026-03-10      | Physics         | 4              
77              | Patricia Jones  | 2025            | World History   | 2.5             | 2026-03-16      | Physics         | 3              
78              | Patricia Davis  | 2026            | Quantum Physics | 3.9             | 2026-01-15      | Physics         | 4              
79              | Linda Williams  | 2026            | Calculus I      | 3.6             | 2026-01-19      | CS              | 4              
79              | Linda Williams  | 2026            | Data Visualization | 3.7             | 2026-04-25      | Physics         | 4              
79              | Linda Williams  | 2026            | Natural Language Processing | 2.4             | 2026-04-27      | History         | 3              
80              | Patricia Garcia | 2025            | AI Agents       | 2.9             | 2026-03-12      | Physics         | 3              
80              | Patricia Garcia | 2025            | Intro to Python | 3.2             | 2026-01-11      | CS              | 4              
80              | Patricia Garcia | 2025            | Machine Learning | 3               | 2026-02-14      | CS              | 3              
81              | Michael Johnson | 2026            | Linear Algebra  | 3.8             | 2026-01-18      | Math            | 4              
81              | Michael Johnson | 2026            | Natural Language Processing | 3.8             | 2026-05-25      | History         | 3              
82              | Linda Garcia    | 2027            | Quantum Physics | 3.1             | 2026-03-17      | Physics         | 4              
83              | Patricia Williams | 2027            | None            | None            | None            | None            | None           
84              | Linda Williams  | 2028            | Natural Language Processing | 2.1             | 2026-05-13      | History         | 3              
84              | Linda Williams  | 2028            | World History   | 2.1             | 2026-01-16      | Physics         | 3              
85              | Robert Miller   | 2026            | Calculus I      | 3.8             | 2026-03-23      | CS              | 4              
85              | Robert Miller   | 2026            | Intro to Python | 2.5             | 2026-01-10      | CS              | 4              
86              | Patricia Johnson | 2027            | None            | None            | None            | None            | None           
87              | Jennifer Brown  | 2028            | Data Visualization | 3.3             | 2026-05-25      | Physics         | 4              
87              | Jennifer Brown  | 2028            | Database Systems | 2.8             | 2026-05-25      | Data Science    | 3              
88              | James Williams  | 2026            | AI Agents       | 3               | 2026-03-24      | Physics         | 3              
88              | James Williams  | 2026            | Database Systems | 3.4             | 2026-05-27      | Data Science    | 3              
88              | James Williams  | 2026            | World History   | 3.5             | 2026-05-12      | Physics         | 3              
89              | John Miller     | 2028            | Calculus I      | 3.7             | 2026-04-24      | CS              | 4              
89              | John Miller     | 2028            | World History   | 2.3             | 2026-01-10      | Physics         | 3              
90              | Robert Garcia   | 2026            | Quantum Physics | 2.9             | 2026-05-15      | Physics         | 4              
90              | Robert Garcia   | 2026            | World History   | 2.7             | 2026-02-12      | Physics         | 3              
91              | Michael Brown   | 2025            | Database Systems | 2               | 2026-05-25      | Data Science    | 3              
91              | Michael Brown   | 2025            | Linear Algebra  | 2.9             | 2026-05-26      | Math            | 4              
91              | Michael Brown   | 2025            | World History   | 4               | 2026-02-16      | Physics         | 3              
92              | Patricia Garcia | 2027            | AI Agents       | 3.7             | 2026-03-21      | Physics         | 3              
92              | Patricia Garcia | 2027            | Quantum Physics | 3.3             | 2026-05-14      | Physics         | 4              
93              | Jennifer Garcia | 2026            | Data Visualization | 2.8             | 2026-03-23      | Physics         | 4              
93              | Jennifer Garcia | 2026            | Database Systems | 3.4             | 2026-03-28      | Data Science    | 3              
93              | Jennifer Garcia | 2026            | Intro to Python | 2.4             | 2026-02-15      | CS              | 4              
94              | John Brown      | 2026            | Calculus I      | 3.7             | 2026-04-27      | CS              | 4              
94              | John Brown      | 2026            | Linear Algebra  | 3.3             | 2026-02-28      | Math            | 4              
95              | James Williams  | 2025            | Data Visualization | 3.4             | 2026-05-24      | Physics         | 4              
95              | James Williams  | 2025            | Intro to Python | 3.7             | 2026-02-13      | CS              | 4              
95              | James Williams  | 2025            | World History   | 2.3             | 2026-03-13      | Physics         | 3              
96              | John Williams   | 2025            | AI Agents       | 3.5             | 2026-01-27      | Physics         | 3              
97              | Robert Brown    | 2027            | AI Agents       | 3.6             | 2026-03-22      | Physics         | 3              
97              | Robert Brown    | 2027            | Machine Learning | 3.2             | 2026-02-16      | CS              | 3              
98              | Mary Brown      | 2027            | Intro to Python | 3.8             | 2026-05-12      | CS              | 4              
98              | Mary Brown      | 2027            | Linear Algebra  | 3.7             | 2026-05-12      | Math            | 4              
99              | Mary Johnson    | 2027            | Calculus I      | 3.9             | 2026-05-12      | CS              | 4              
99              | Mary Johnson    | 2027            | Machine Learning | 4               | 2026-05-12      | CS              | 3              
100             | Patricia Brown  | 2025            | Database Systems | 3.5             | 2026-05-12      | Data Science    | 3              
101             | New Student A   | Intro to Python | 3.5             | History        
102             | New Student B   | Intro to Python | 3.2             | Biology        
103             | New Student C   | Machine Learning | 4.0             | Art            
98              | Patricia Smith  | Intro to Python | 1.0             | CS             
98              | Patricia Smith  | Intro to Python | 2.5             | CS             
99              | Linda Garcia    | Machine Learning | 0.0             | CS             
